POLLING STATION LOCATION,PNP Phillips Peter D.,JLP Prince Beverley ann marie,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
97 97A MARCUS GARVEY TECH HIGH SCH.,39,47,,,,2,88,34.78%,253,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
97 97B MARCUS GARVEY TECH HIGH SCH.,48,54,,,,0,102,40.32%,253,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
98 98 PRIORY PRIMARY SCHOOL,51,132,,,,2,185,53.16%,348,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
99 99 PRIORY PRIMARY SCHOOL,50,174,,,,2,226,54.20%,417,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
100 100 INFIRMARY,13,77,,,,1,91,52.30%,174,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
101 101 SEVILLE HEIGHTS PLAYFIELD,49,110,,,,3,162,52.77%,307,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
102 102 PRIORY PRIMARY SCHOOL,34,129,,,,2,165,57.69%,286,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
103 103A PRIORY PRIMARY SCHOOL,37,107,,,,0,144,62.61%,230,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
103 103B PRIORY PRIMARY SCHOOL,28,100,,,,2,130,56.52%,230,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
104 104 SEVILLE HEIGHTS PLAYFIELD,54,91,,,,3,148,48.05%,308,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
105 105 NEW SEVILLE BASIC SCHOOL,71,81,,,,5,157,53.95%,291,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
106 106 NEW SEVILLE BASIC SCHOOL,81,68,,,,3,152,54.29%,280,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
107 107A NEW SEVILLE BASIC SCHOOL,50,64,,,,1,115,47.33%,243,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
107 107B NEW SEVILLE BASIC SCHOOL,65,60,,,,1,126,51.85%,243,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
108 108 NEW SEVILLE BASIC SCHOOL,53,141,,,,3,197,50.00%,394,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
109 109 SEVILLE HEIGHTS PLAYFIELD,64,172,,,,1,237,57.25%,414,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
,,,,,,,,,,,,
POLLING STATION LOCATION,PNP Campbell Dayton R.,JLP Lawrence Othneil D. St Elmo,NDM Mcdonnough Jr Graham George,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1 LIBERTY BAPTIST CHURCH HALL,13,44,1,,,3,61,44.20%,138,ST. ANN NORTH WESTERN (25),BAMBOO (9),
2 2 MINES BASIC SCHOOL,32,160,1,,,1,194,67.60%,287,ST. ANN NORTH WESTERN (25),BAMBOO (9),
3 3 MINES BASIC SCHOOL,16,152,0,,,4,172,60.35%,285,ST. ANN NORTH WESTERN (25),BAMBOO (9),
4 4 CHESTER PRIMARY SCHOOL,77,121,1,,,2,201,51.02%,394,ST. ANN NORTH WESTERN (25),BAMBOO (9),
5 5 CHESTER PRIMARY SCHOOL,25,110,0,,,2,137,50.93%,269,ST. ANN NORTH WESTERN (25),BAMBOO (9),
6 6 LEWIS BASIC SCHOOL,32,174,0,,,6,212,53.00%,400,ST. ANN NORTH WESTERN (25),BAMBOO (9),
7 7A LEWIS BASIC SCHOOL,18,100,0,,,0,118,54.63%,216,ST. ANN NORTH WESTERN (25),BAMBOO (9),
7 7B LEWIS BASIC SCHOOL,16,105,0,,,0,121,56.02%,216,ST. ANN NORTH WESTERN (25),BAMBOO (9),
8 8 LIBERTY BAPTIST CHURCH HALL,22,55,0,,,1,78,48.75%,160,ST. ANN NORTH WESTERN (25),BAMBOO (9),
9 9 FREE HILL PRIMARY SCHOOL,72,164,0,,,1,237,56.97%,416,ST. ANN NORTH WESTERN (25),BAMBOO (9),
10 10 LILLYFIELD BASIC SCHOOL,58,91,0,,,0,149,51.92%,287,ST. ANN NORTH WESTERN (25),BAMBOO (9),
11 11 LILLYFIELD BASIC SCHOOL,68,66,0,,,1,135,39.59%,341,ST. ANN NORTH WESTERN (25),BAMBOO (9),
12 12 BAMBOO PRIMARY & JH SCHOOL,84,58,0,,,0,142,44.79%,317,ST. ANN NORTH WESTERN (25),BAMBOO (9),
13 13 BAMBOO PRIMARY & JH SCHOOL,78,20,0,,,0,98,50.26%,195,ST. ANN NORTH WESTERN (25),BAMBOO (9),
14 14 ETHEL WAUGH'S PREMISES,25,130,0,,,1,156,52.35%,298,ST. ANN NORTH WESTERN (25),BAMBOO (9),
15 15 ETHEL WAUGH'S PREMISES,33,97,0,,,3,133,52.78%,252,ST. ANN NORTH WESTERN (25),BAMBOO (9),
16 16 BAMBOO PRIMARY & JH SCHOOL,127,78,0,,,3,208,51.61%,403,ST. ANN NORTH WESTERN (25),BAMBOO (9),
17 17 BAMBOO PRIMARY & JH SCHOOL,65,42,0,,,3,110,43.65%,252,ST. ANN NORTH WESTERN (25),BAMBOO (9),
18 18 BAMBOO PRIMARY & JH SCHOOL,101,29,0,,,0,130,49.06%,265,ST. ANN NORTH WESTERN (25),BAMBOO (9),
19 19 BAMBOO PRIMARY & JH SCHOOL,198,38,1,,,2,239,56.77%,421,ST. ANN NORTH WESTERN (25),BAMBOO (9),
20 20A BAMBOO PRIMARY & JH SCHOOL,134,24,0,,,4,162,59.34%,273,ST. ANN NORTH WESTERN (25),BAMBOO (9),
20 20B BAMBOO PRIMARY & JH. SCHOOL,144,20,0,,,1,165,60.22%,274,ST. ANN NORTH WESTERN (25),BAMBOO (9),
21 21A LILLYFIELD BASIC SCHOOL,77,41,1,,,0,119,49.79%,239,ST. ANN NORTH WESTERN (25),BAMBOO (9),
21 21B LILLYFIELD BASIC SCHOOL,63,34,0,,,0,97,40.42%,240,ST. ANN NORTH WESTERN (25),BAMBOO (9),
22 22 PHILADELPHIA BASIC SCHOOL,90,40,0,,,2,132,46.64%,283,ST. ANN NORTH WESTERN (25),BAMBOO (9),
23 23 LOWER BUXTON ALL AGE SCHOOL,91,21,0,,,0,112,44.98%,249,ST. ANN NORTH WESTERN (25),BAMBOO (9),
24 24 LOWER BUXTON ALL AGE SCHOOL,122,41,1,,,5,169,48.84%,346,ST. ANN NORTH WESTERN (25),BAMBOO (9),
25 25 DOROTHY BOWERBANK'S PREMISES,40,27,0,,,2,69,33.33%,207,ST. ANN NORTH WESTERN (25),BAMBOO (9),
26 26A PHILADELPHIA PRIMARY SCHOOL,44,40,0,,,1,85,39.91%,213,ST. ANN NORTH WESTERN (25),BAMBOO (9),
26 26B PHILADELPHIA PRIMARY SCHOOL,42,45,0,,,1,88,41.12%,214,ST. ANN NORTH WESTERN (25),BAMBOO (9),
27 27 PHILADELPHIA PRIMARY SCHOOL,61,62,0,,,0,123,41.28%,298,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
28 28 STURGE TOWN PRIMARY SCHOOL,54,36,0,,,1,91,49.19%,185,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
29 29 DONALD ROBINSON'S PREMISES,65,72,0,,,1,138,50.92%,271,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
30 30 TRYSEE BAPTIST CLASS HOUSE,112,23,0,,,0,135,53.15%,254,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
31 31 TRYSEE BAPTIST CLASS HOUSE,91,27,0,,,1,119,47.60%,250,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
32 32 MOUNT OLIVET BAPTIST CHURCH,102,60,0,,,1,163,48.37%,337,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
33 33 OLD ROAD BASIC SCHOOL,97,20,0,,,0,117,52.47%,223,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
34 34 STURGE TOWN PRIMARY SCHOOL,99,44,0,,,0,143,49.83%,287,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
35 35 MOUNT ZION PRIMARY SCHOOL,53,49,0,,,6,108,52.17%,207,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
36 36 MOUNT ZION PRIMARY SCHOOL,81,97,0,,,2,180,49.05%,367,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
37 37 BEVERLEY BASIC SCHOOL,47,156,0,,,4,207,50.24%,412,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
38 38 MOUNT ARARAT CHUCRH OF GOD,39,116,0,,,0,155,56.57%,274,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
39 39 HOOLEBURY ALL AGE SCHOOL,31,58,0,,,1,90,49.45%,182,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
40 40 SALEM BASIC SCHOOL,50,96,0,,,0,146,43.98%,332,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
41 41A HOOLEBURY METHODIST CHURCH HALL,35,72,0,,,1,108,43.37%,249,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
41 41B HOOLEBURY METHODIST CHURCH HALL,44,70,0,,,1,115,46.00%,250,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
42 42 SALEM BASIC SCHOOL,64,119,0,,,4,187,49.34%,379,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
43 43 SALEM BASIC SCHOOL,52,136,0,,,1,189,47.49%,398,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
44 44 HOOLEBURY ALL AGE SCHOOL,28,93,1,,,2,124,46.44%,267,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
45 45 HAMPTON PREPARATORY SCHOOL,37,69,0,,,1,107,39.19%,273,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
46 46A HOOLEBURY ALL AGE SCHOOL,50,74,0,,,0,124,45.42%,273,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
46 46B HOOLEBURY ALL AGE SCHOOL,56,88,0,,,2,146,53.48%,273,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
47 47 MOUNT ZION PRIMARY SCHOOL,18,5,0,,,0,23,46.94%,49,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
48 48A BELFIELD BASIC SCHOOL,78,43,0,,,2,123,57.21%,215,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
48 48B BELFIELD BASIC SCHOOL,57,43,0,,,2,102,47.22%,216,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
49 49 BELFIELD BASIC SCHOOL,73,73,0,,,3,149,48.53%,307,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
50 50 RUNAWAY BAY ALL AGE SCHOOL,105,67,0,,,0,172,45.26%,380,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
51 51 RUNAWAY BAY ALL AGE SCHOOL,122,53,0,,,3,178,46.23%,385,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
52 52A RUNAWAY BAY ALL AGE SCHOOL,54,30,0,,,0,84,38.18%,220,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
52 52B RUNAWAY BAY ALL AGE SCHOOL,47,40,0,,,2,89,40.27%,221,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
53 53 RUNAWAY BAY ALL AGE SCHOOL,69,56,0,,,0,125,36.98%,338,ST. ANN NORTH WESTERN (25),STURGE TOWN (10),
54 54A RUNAWAY BAY ALL AGE SCHOOL,55,31,1,,,1,88,40.74%,216,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
54 54B RUNAWAY BAY ALL AGE SCHOOL,61,35,0,,,0,96,44.44%,216,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
55 55 RUNAWAY BAY ALL AGE SCHOOL,126,59,0,,,3,188,47.59%,395,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
56 56A RUNAWAY BAY ALL AGE SCHOOL,59,55,0,,,2,116,51.56%,225,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
56 56B RUNAWAY BAY ALL AGE SCHOOL,51,52,0,,,3,106,47.11%,225,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
57 57A LIBERTY HILL COMMUNITY CENTRE,55,73,0,,,1,129,50.19%,257,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
57 57B LIBERTY HILL COMMUNITY CENTRE,54,62,0,,,0,116,44.96%,258,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
58 58 DISCOVERY BAY ALL AGE SCHOOL,29,30,0,,,1,60,37.04%,162,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
59 59 DISCOVERY BAY ALL AGE SCHOOL,57,26,0,,,0,83,47.16%,176,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
60 60 DISCOVERY BAY ALL AGE SCHOOL,154,43,0,,,1,198,52.52%,377,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
61 61 DISCOVERY BAY ALL AGE SCHOOL,72,68,0,,,1,141,36.43%,387,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
62 62A DISCOVERY BAY ALL AGE SCHOOL,44,50,0,,,1,95,40.25%,236,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
62 62B DISCOVERY BAY ALL AGE SCHOOL,64,34,0,,,1,99,41.77%,237,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
63 63 DISCOVERY BAY ALL AGE SCHOOL,101,92,0,,,3,196,48.76%,402,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
64 64 DISCOVERY BAY ALL AGE SCHOOL,70,36,0,,,1,107,47.56%,225,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
65 65 FARM TOWN BASIC SCHOOL,61,113,1,,,4,179,43.34%,413,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
66 66 MAVIS WHITE'S PREMISES,14,110,0,,,2,126,57.27%,220,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
67 67 MAVIS WHITE'S PREMISES,27,142,0,,,0,169,55.78%,303,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
68 68 THICKETTS BASIC SCHOOL,26,89,0,,,2,117,52.23%,224,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
69 69 WALTHAM ABBEY ALL AGE SCH.,43,80,0,,,1,124,56.88%,218,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
70 70 QUEENHYTHE BASIC SCHOOL,23,82,0,,,2,107,46.12%,232,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
71 71A QUEENHYTHE BASIC SCHOOL,24,53,0,,,0,77,35.65%,216,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
71 71B QUEENHYTHE BASIC SCHOOL,31,66,0,,,0,97,44.70%,217,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
72 72 LIBERTY HILL COMMUNITY CENTRE,64,115,0,,,1,180,45.45%,396,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
73 73 VINCENT DALEY'S PREMISES,35,115,0,,,0,150,60.24%,249,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
74 74 KETTH ALL AGE SCHOOL,93,78,1,,,4,176,48.22%,365,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
75 75 KETTH ALL AGE SCHOOL,51,84,0,,,1,136,52.11%,261,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
76 76 THICKETTS BASIC SCHOOL,43,162,0,,,1,206,56.28%,366,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
77 77 RETREAT BASIC SCHOOL,22,31,1,,,1,55,39.86%,138,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
78 78 KETTH ALL AGE SCHOOL,40,48,0,,,0,88,52.07%,169,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
79 79 FREEFIELD BASIC SCHOOL,92,52,1,,,3,148,41.23%,359,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
80 80 FREEFIELD BASIC SCHOOL,100,37,0,,,0,137,40.65%,337,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
81 81A BROWN'S TOWN INFANT SCHOOL,65,35,0,,,4,104,45.81%,227,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
81 81B BROWN'S TOWN INFANT SCHOOL,62,41,0,,,1,104,45.81%,227,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
82 82 BROWN'S TOWN METHODIST CHURCH,124,52,0,,,1,177,46.21%,383,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
83 83 BROWN'S TOWN METHODIST CHURCH,98,27,0,,,0,125,45.96%,272,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
84 84 SERVITE PRIMARY SCHOOL,87,50,0,,,2,139,41.00%,339,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
85 85 SERVITE PRIMARY SCHOOL,47,18,0,,,1,66,45.21%,146,ST. ANN NORTH WESTERN (25),DRY HARBOUR (11),
86 86 PARISH COUNCIL OFFICE,75,53,0,,,0,128,43.99%,291,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
87 87 PARISH COUNCIL OFFICE,143,40,0,,,3,186,47.33%,393,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
88 88 BROWN'S TOWN MODEL BASIC SCHOOL,58,49,0,,,1,108,36.12%,299,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
89 89 BROWN'S TOWN METHODIST CHURCH,55,26,0,,,0,81,39.13%,207,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
90 90 BROWN'S TOWN INFANT SCHOOL,111,68,0,,,1,180,43.17%,417,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
91 91 BROWN'S TOWN INFANT SCHOOL,75,40,0,,,1,116,36.71%,316,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
EPM 92 92 BROWN'S TOWN HIGH SCHOOL,256,190,0,,,3,449,189.45%,237,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
93 93 BROWN'S TOWN HIGH SCHOOL,80,59,0,,,0,139,39.94%,348,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
EPM 94 94 BROWN'S TOWN HIGH SCHOOL,116,66,0,,,0,182,85.45%,213,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
95 95 BROWN'S TOWN HIGH SCHOOL,98,32,0,,,0,130,38.58%,337,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
96 96 BROWN'S TOWN HIGH SCHOOL,71,35,0,,,0,106,40.61%,261,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
97 97 BROWN'S TOWN HIGH SCHOOL,67,39,0,,,1,107,37.02%,289,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
98 98A ADDISON PARK SPORT COMPLEX,54,29,0,,,0,83,35.47%,234,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
98 98B ADDISON PARK SPORTS COMPLEX,50,49,0,,,2,101,42.98%,235,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
99 99A LIBERTY VALLEY BASIC SCHOOL,53,39,0,,,2,94,39.66%,237,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
99 99B LIBERTY VALLEY BASIC SCHOOL,60,20,0,,,1,81,34.18%,237,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
100 100 CATHERINE BROWN'S PREMISES,92,36,2,,,0,130,41.01%,317,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
101 101 VETA STEPHENSON'S PREMISES,61,59,1,,,3,124,42.18%,294,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
102 102 CATHERINE BROWN'S PREMISES,62,63,0,,,1,126,44.06%,286,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
103 103A BAPTIST CLASS HOUSE,57,41,0,,,0,98,41.35%,237,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
103 103B BAPTIST CLASS HOUSE,59,48,0,,,1,108,45.57%,237,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
104 104 CATHERINE BROWN'S PREMISES,43,63,0,,,1,107,49.31%,217,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
105 105 MIDDLE BUXTON BASIC SCHOOL,33,57,0,,,0,90,39.47%,228,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
106 106 MAUD JOHNSON'S PREMISES,70,71,0,,,3,144,45.14%,319,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
107 107 MUIRHOUSE PRIMARY & J. H. SCHOOL,75,28,0,,,0,103,53.09%,194,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
108 108 MUIRHOUSE PRIMARY & J. H. SCHOOL,75,38,0,,,3,116,52.25%,222,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
109 109 MUIRHOUSE PRIMARY & J. H. SCHOOL,11,45,0,,,2,58,43.61%,133,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
110 110 MUIRHOUSE PRIMARY & J. H. SCHOOL,99,28,0,,,4,131,48.88%,268,ST. ANN NORTH WESTERN (25),BROWN'S TOWN (12),
,,,,,,,,,,,,
POLLING STATION LOCATION,JLP Mayne Zava Taze,PNP Walford Keth Anthony,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1 RETREAT COMMUNITY CENTRE,18,2,,,,0,20,66.67%,30,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
2 2 RETREAT COMMUNITY CENTRE,127,74,,,,3,204,55.89%,365,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
3 3 RETREAT COMMUNITY CENTRE,80,61,,,,1,142,53.79%,264,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
4 4A TOBOLSKI BASIC SCHOOL,47,50,,,,0,97,43.11%,225,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
4 4B TOBOLSKI BASIC SCHOOL,34,57,,,,1,92,40.71%,226,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
5 5 TOBOLSKI BASIC SCHOOL,45,90,,,,2,137,45.51%,301,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
6 6 LIME TREE GARDEN PRIMARY SCH.,77,55,,,,0,132,47.83%,276,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
7 7 GIBRALTAR ALL AGE & INFANT SCHOOL,32,15,,,,1,48,51.61%,93,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
8 8 GIBRALTAR ALL AGE & INFANT SCHOOL,116,30,,,,0,146,51.77%,282,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
9 9 GIBRALTAR ALL AGE & INFANT SCHOOL,32,26,,,,0,58,55.24%,105,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
10 10 LIME TREE GARDEN PRIMARY SCH.,39,37,,,,0,76,43.18%,176,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
11 11 MYRTLE GALLIMORE COMM. CENTRE,76,43,,,,0,119,49.38%,241,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
12 12 WEBSTER GAYNOR'S PREMISES,32,84,,,,0,116,52.25%,222,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
13 13 ST. PAUL'S BAPTIST CHURCH HALL,104,19,,,,1,124,52.10%,238,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
14 14 ST. PAUL'S BAPTIST CHURCH HALL,85,15,,,,1,101,59.76%,169,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
15 15 ENID JONES' BASIC SCHOOL,48,35,,,,0,83,62.41%,133,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
16 16 MADRAS ALL AGE SCHOOL,79,63,,,,0,142,50.90%,279,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
17 17 MADRAS ALL AGE SCHOOL,49,48,,,,0,97,55.75%,174,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
18 18 MADRAS ALL AGE SCHOOL,48,47,,,,1,96,45.93%,209,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
19 19 CHRISTIAN HOLINESS CHURCH BASIC SCH.,22,26,,,,2,50,53.76%,93,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
20 20 WATT TOWN ALL AGE SCHOOL,73,39,,,,1,113,47.48%,238,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
21 21 WATT TOWN ALL AGE SCHOOL,130,28,,,,3,161,49.24%,327,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
22 22 WATT TOWN ALL AGE SCHOOL,155,15,,,,1,171,57.77%,296,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
23 23 RETIREMENT PRIMARY SCHOOL,110,25,,,,0,135,45.15%,299,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
24 24 LINTON PARK ALL AGE SCHOOL,55,24,,,,0,79,58.09%,136,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
25 25 PROMI CAMPBELL'S CHURCH HALL,207,28,,,,0,235,59.64%,394,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
26 26 ECCLESTON PRIMARY SCHOOL,33,25,,,,1,59,56.19%,105,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
27 27 LINTON PARK ALL AGE SCHOOL,99,49,,,,2,150,55.35%,271,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
28 28 WATER VALLEY BASIC SCHOOL,37,6,,,,0,43,58.90%,73,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
29 29 RETIREMENT PRIMARY SCHOOL,85,33,,,,1,119,51.74%,230,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
30 30 BETHANY PRIMARY SCHOOL,123,36,,,,0,159,46.90%,339,ST. ANN SOUTH WESTERN (26),GIBRALTAR (13),
31 31 MYRTLE GALLIMORE COMM. CENTRE,102,40,,,,0,142,54.20%,262,ST. ANN SOUTH WESTERN (26),ALEXANDRIA (14),
EPM 32 32 CHARLTON INFANT SCHOOL,93,77,,,,0,170,80.95%,210,ST. ANN SOUTH WESTERN (26),ALEXANDRIA (14),
33 33 MYRTLE GALLIMORE COMM. CENTRE,92,44,,,,0,136,50.00%,272,ST. ANN SOUTH WESTERN (26),ALEXANDRIA (14),
34 34 MYRTLE GALLIMORE COMM. CENTRE,115,26,,,,0,141,56.63%,249,ST. ANN SOUTH WESTERN (26),ALEXANDRIA (14),
35 35 MYRTLE GALLIMORE COMM. CENTRE,114,43,,,,5,162,54.73%,296,ST. ANN SOUTH WESTERN (26),ALEXANDRIA (14),
36 36 BETHANY PRIMARY SCHOOL,71,71,,,,0,142,61.47%,231,ST. ANN SOUTH WESTERN (26),ALEXANDRIA (14),
37 37 BETHANY PRIMARY SCHOOL,77,85,,,,0,162,60.22%,269,ST. ANN SOUTH WESTERN (26),ALEXANDRIA (14),
38 38 BETHANY PRIMARY SCHOOL,101,62,,,,0,163,62.93%,259,ST. ANN SOUTH WESTERN (26),ALEXANDRIA (14),
39 39 SONIA CUNNUNGHAM'S PREMISES,60,34,,,,1,95,49.22%,193,ST. ANN SOUTH WESTERN (26),ALEXANDRIA (14),
40 40 SONIA CUNNUNGHAM'S PREMISES,96,50,,,,1,147,53.65%,274,ST. ANN SOUTH WESTERN (26),ALEXANDRIA (14),
